location;time_of_measurement;counted_pedestrians;type;incidents
Königstraße (Mitte), Stuttgart;2019-03-01 00:00:00 +0100;181;regular;""
Königstraße (Mitte), Stuttgart;2019-03-01 01:00:00 +0100;88;regular;""
Königstraße (Mitte), Stuttgart;2019-03-01 02:00:00 +0100;55;regular;""
Königstraße (Mitte), Stuttgart;2019-03-01 03:00:00 +0100;62;regular;""
Königstraße (Mitte), Stuttgart;2019-03-01 04:00:00 +0100;56;regular;""
Königstraße (Mitte), Stuttgart;2019-03-01 05:00:00 +0100;71;regular;""
Königstraße (Mitte), Stuttgart;2019-03-01 06:00:00 +0100;131;regular;""
Königstraße (Mitte), Stuttgart;2019-03-01 07:00:00 +0100;213;regular;""
Königstraße (Mitte), Stuttgart;2019-03-01 08:00:00 +0100;433;regular;""
Königstraße (Mitte), Stuttgart;2019-03-01 09:00:00 +0100;741;regular;""
Königstraße (Mitte), Stuttgart;2019-03-01 10:00:00 +0100;1483;regular;""
Königstraße (Mitte), Stuttgart;2019-03-01 11:00:00 +0100;2370;regular;""
Königstraße (Mitte), Stuttgart;2019-03-01 12:00:00 +0100;3440;regular;""
Königstraße (Mitte), Stuttgart;2019-03-01 13:00:00 +0100;3863;regular;""
Königstraße (Mitte), Stuttgart;2019-03-01 14:00:00 +0100;4168;regular;""
Königstraße (Mitte), Stuttgart;2019-03-01 15:00:00 +0100;4798;regular;""
Königstraße (Mitte), Stuttgart;2019-03-01 16:00:00 +0100;5553;regular;""
Königstraße (Mitte), Stuttgart;2019-03-01 17:00:00 +0100;5221;regular;""
Königstraße (Mitte), Stuttgart;2019-03-01 18:00:00 +0100;5237;regular;""
Königstraße (Mitte), Stuttgart;2019-03-01 19:00:00 +0100;3912;regular;""
Königstraße (Mitte), Stuttgart;2019-03-01 20:00:00 +0100;2336;regular;""
Königstraße (Mitte), Stuttgart;2019-03-01 21:00:00 +0100;1678;regular;""
Königstraße (Mitte), Stuttgart;2019-03-01 22:00:00 +0100;1662;regular;""
Königstraße (Mitte), Stuttgart;2019-03-01 23:00:00 +0100;1202;regular;""
Königstraße (Mitte), Stuttgart;2019-03-02 00:00:00 +0100;910;regular;""
Königstraße (Mitte), Stuttgart;2019-03-02 01:00:00 +0100;653;regular;""
Königstraße (Mitte), Stuttgart;2019-03-02 02:00:00 +0100;538;regular;""
Königstraße (Mitte), Stuttgart;2019-03-02 03:00:00 +0100;449;regular;""
Königstraße (Mitte), Stuttgart;2019-03-02 04:00:00 +0100;341;regular;""
Königstraße (Mitte), Stuttgart;2019-03-02 05:00:00 +0100;242;regular;""
Königstraße (Mitte), Stuttgart;2019-03-02 06:00:00 +0100;176;regular;""
Königstraße (Mitte), Stuttgart;2019-03-02 07:00:00 +0100;194;regular;""
Königstraße (Mitte), Stuttgart;2019-03-02 08:00:00 +0100;313;regular;""
Königstraße (Mitte), Stuttgart;2019-03-02 09:00:00 +0100;876;regular;""
Königstraße (Mitte), Stuttgart;2019-03-02 10:00:00 +0100;2613;regular;""
Königstraße (Mitte), Stuttgart;2019-03-02 11:00:00 +0100;4663;regular;""
Königstraße (Mitte), Stuttgart;2019-03-02 12:00:00 +0100;6499;regular;""
Königstraße (Mitte), Stuttgart;2019-03-02 13:00:00 +0100;8209;regular;""
Königstraße (Mitte), Stuttgart;2019-03-02 14:00:00 +0100;9789;regular;""
Königstraße (Mitte), Stuttgart;2019-03-02 15:00:00 +0100;10969;regular;""
Königstraße (Mitte), Stuttgart;2019-03-02 16:00:00 +0100;10971;regular;""
Königstraße (Mitte), Stuttgart;2019-03-02 17:00:00 +0100;10444;regular;""
Königstraße (Mitte), Stuttgart;2019-03-02 18:00:00 +0100;8855;regular;""
Königstraße (Mitte), Stuttgart;2019-03-02 19:00:00 +0100;6636;regular;""
Königstraße (Mitte), Stuttgart;2019-03-02 20:00:00 +0100;3713;regular;""
Königstraße (Mitte), Stuttgart;2019-03-02 21:00:00 +0100;2207;regular;""
Königstraße (Mitte), Stuttgart;2019-03-02 22:00:00 +0100;2151;regular;""
Königstraße (Mitte), Stuttgart;2019-03-02 23:00:00 +0100;1715;regular;""
Königstraße (Mitte), Stuttgart;2019-03-03 00:00:00 +0100;1295;regular;""
Königstraße (Mitte), Stuttgart;2019-03-03 01:00:00 +0100;981;regular;""
Königstraße (Mitte), Stuttgart;2019-03-03 02:00:00 +0100;703;regular;""
Königstraße (Mitte), Stuttgart;2019-03-03 03:00:00 +0100;585;regular;""
Königstraße (Mitte), Stuttgart;2019-03-03 04:00:00 +0100;497;regular;""
Königstraße (Mitte), Stuttgart;2019-03-03 05:00:00 +0100;391;regular;""
Königstraße (Mitte), Stuttgart;2019-03-03 06:00:00 +0100;200;regular;""
Königstraße (Mitte), Stuttgart;2019-03-03 07:00:00 +0100;127;regular;""
Königstraße (Mitte), Stuttgart;2019-03-03 08:00:00 +0100;142;regular;""
Königstraße (Mitte), Stuttgart;2019-03-03 09:00:00 +0100;273;regular;""
Königstraße (Mitte), Stuttgart;2019-03-03 10:00:00 +0100;484;regular;""
Königstraße (Mitte), Stuttgart;2019-03-03 11:00:00 +0100;937;regular;""
Königstraße (Mitte), Stuttgart;2019-03-03 12:00:00 +0100;1452;regular;""
Königstraße (Mitte), Stuttgart;2019-03-03 13:00:00 +0100;1928;regular;""
Königstraße (Mitte), Stuttgart;2019-03-03 14:00:00 +0100;2469;regular;""
Königstraße (Mitte), Stuttgart;2019-03-03 15:00:00 +0100;2577;regular;""
