location;time_of_measurement;counted_pedestrians;type;incidents
Königstraße (Mitte), Stuttgart;2020-01-06 00:04:21 +0100;31;regular;""
Königstraße (Mitte), Stuttgart;2020-01-06 00:09:56 +0100;24;regular;""
Königstraße (Mitte), Stuttgart;2020-01-06 00:14:15 +0100;34;regular;""
Königstraße (Mitte), Stuttgart;2020-01-06 00:19:58 +0100;30;regular;""
Königstraße (Mitte), Stuttgart;2020-01-06 00:24:37 +0100;32;regular;""
Königstraße (Mitte), Stuttgart;2020-01-06 00:29:32 +0100;23;regular;""
Königstraße (Mitte), Stuttgart;2020-01-06 00:34:47 +0100;23;regular;""
Königstraße (Mitte), Stuttgart;2020-01-06 00:38:15 +0100;12;regular;""
Königstraße (Mitte), Stuttgart;2020-01-06 00:44:59 +0100;27;regular;""
Königstraße (Mitte), Stuttgart;2020-01-06 00:49:51 +0100;27;regular;""
Königstraße (Mitte), Stuttgart;2020-01-06 00:54:49 +0100;15;regular;""
Königstraße (Mitte), Stuttgart;2020-01-06 00:59:35 +0100;14;regular;""
Königstraße (Mitte), Stuttgart;2020-01-06 01:04:29 +0100;35;regular;""
Königstraße (Mitte), Stuttgart;2020-01-06 01:09:47 +0100;16;regular;""
Königstraße (Mitte), Stuttgart;2020-01-06 01:14:50 +0100;16;regular;""
Königstraße (Mitte), Stuttgart;2020-01-06 01:18:04 +0100;20;regular;""
Königstraße (Mitte), Stuttgart;2020-01-06 01:24:20 +0100;16;regular;""
Königstraße (Mitte), Stuttgart;2020-01-06 01:29:37 +0100;26;regular;""
Königstraße (Mitte), Stuttgart;2020-01-06 01:34:38 +0100;8;regular;""
Königstraße (Mitte), Stuttgart;2020-01-06 01:39:54 +0100;15;regular;""
Königstraße (Mitte), Stuttgart;2020-01-06 01:44:13 +0100;11;regular;""
Königstraße (Mitte), Stuttgart;2020-01-06 01:48:16 +0100;12;regular;""
Königstraße (Mitte), Stuttgart;2020-01-06 01:54:21 +0100;9;regular;""
Königstraße (Mitte), Stuttgart;2020-01-06 01:57:14 +0100;15;regular;""
Königstraße (Mitte), Stuttgart;2020-01-06 02:04:14 +0100;16;regular;""
Königstraße (Mitte), Stuttgart;2020-01-06 02:09:36 +0100;23;regular;""
Königstraße (Mitte), Stuttgart;2020-01-06 02:14:49 +0100;18;regular;""
Königstraße (Mitte), Stuttgart;2020-01-06 02:19:58 +0100;31;regular;""
Königstraße (Mitte), Stuttgart;2020-01-06 02:24:20 +0100;27;regular;""
Königstraße (Mitte), Stuttgart;2020-01-06 02:29:57 +0100;20;regular;""
Königstraße (Mitte), Stuttgart;2020-01-06 02:34:56 +0100;10;regular;""
Königstraße (Mitte), Stuttgart;2020-01-06 02:39:26 +0100;11;regular;""
Königstraße (Mitte), Stuttgart;2020-01-06 02:44:55 +0100;21;regular;""
Königstraße (Mitte), Stuttgart;2020-01-06 02:49:03 +0100;19;regular;""
Königstraße (Mitte), Stuttgart;2020-01-06 02:54:24 +0100;13;regular;""
Königstraße (Mitte), Stuttgart;2020-01-06 02:58:15 +0100;14;regular;""
